UA;SU;SUBP;COD_ARV;FUSTE;DAP;SA;QF;PS;AFF;HT;HF;PL;HAB;MB
ES_10;1;1;1;1;10,3;1;1;4;0;9,5;5,0;0;NA;0
ES_10;1;1;2;1;10,7;1;2;4;0;9,3;4,7;0;NA;0
ES_10;1;1;3;1;10,4;1;2;4;0;9,3;4,5;0;NA;0
ES_10;1;1;4;1;10,3;1;1;4;0;9,5;4,0;0;NA;0
ES_10;1;1;5;1;10,4;1;1;4;0;9,6;4,5;0;NA;0
ES_10;1;1;6;1;10,7;1;1;4;0;9,3;4,0;0;NA;0
ES_10;1;1;7;1;10,3;1;2;4;0;9,2;4,5;0;NA;0
ES_10;1;2;8;1;11,5;1;2;4;0;9,5;4,4;0;NA;0
ES_10;1;2;9;1;10,9;2;2;4;0;9,4;4,3;0;NA;0
ES_10;1;2;10;1;10,1;1;1;4;0;9,3;4,2;0;NA;0
ES_10;1;2;11;1;10,9;1;2;4;0;9,2;4,0;0;NA;0
ES_10;1;2;12;1;10,8;1;2;4;0;9,0;4,0;0;NA;0
ES_10;1;3;13;1;10,6;1;1;4;0;9,5;4,5;0;NA;0
ES_10;1;3;14;1;10,3;1;1;4;0;9,4;4,5;0;NA;0
ES_10;1;3;15;1;10,1;1;1;4;0;9,3;4,8;0;NA;0
ES_10;1;3;16;1;10,2;1;1;4;0;9,1;5,0;0;NA;0
ES_10;1;4;17;1;10,6;1;1;4;0;9,5;4,7;0;NA;0
ES_10;1;4;18;1;10,2;1;1;4;0;9,4;5,0;0;NA;0
ES_10;1;4;19;1;11,1;1;1;4;0;9,2;5,0;0;NA;0
ES_10;1;4;20;1;10,2;1;1;4;0;9,6;4,9;0;NA;0
ES_10;1;4;21;1;10,8;1;1;4;0;9,5;4,7;0;NA;0
ES_10;1;4;22;1;10,7;1;1;4;0;9,5;4,8;0;NA;0
ES_10;1;4;23;1;11,2;1;1;4;0;9,4;4,7;0;NA;0
ES_10;1;4;24;1;10,5;1;1;4;0;9,3;4,8;0;NA;0
ES_10;1;4;25;1;11,4;1;1;4;0;9,5;4,9;0;NA;0
ES_10;1;5;26;1;11,2;1;1;4;0;9,4;4,7;0;NA;0
ES_10;1;5;27;1;10,5;1;2;4;0;9,3;4,5;0;NA;0
ES_10;1;5;28;1;10,2;1;2;4;0;9,5;5,0;0;NA;0
ES_10;1;5;29;1;10,5;1;1;4;0;9,4;4,7;0;NA;0
ES_10;1;6;30;1;10,6;1;1;4;0;9,5;5,0;0;NA;0
ES_10;1;6;31;1;10,3;1;1;4;0;9,4;4,8;0;NA;0
ES_10;1;6;32;1;10,9;1;1;4;0;9,2;4,5;0;NA;0
ES_10;1;6;33;1;10,6;1;2;4;0;9,3;4,5;0;NA;0
ES_10;1;6;34;1;10,8;1;1;4;0;9,2;5,0;0;NA;0
ES_10;1;6;35;1;10,2;1;1;4;0;9,5;4,7;0;NA;0
ES_10;1;6;36;1;11,0;1;2;4;0;9,5;4,8;0;NA;0
ES_10;1;7;37;1;10,1;1;1;4;0;9,6;4,7;0;NA;0
ES_10;1;7;38;1;10,4;1;1;4;0;9,4;4,5;0;NA;0
ES_10;1;7;39;1;10,0;1;2;4;0;9,3;4,4;0;NA;0
ES_10;1;7;40;1;11,1;1;1;4;0;9,4;4,6;0;NA;0
ES_10;1;7;41;1;10,4;1;1;4;0;9,5;4,7;0;NA;0
ES_10;1;8;42;1;10,4;1;2;4;0;9,4;4,8;0;NA;0
ES_10;1;8;43;1;10,8;1;1;4;0;9,6;4,9;0;NA;0
ES_10;1;8;44;1;10,8;1;1;4;0;9,5;5,0;0;NA;0
ES_10;1;8;45;1;10,7;1;1;4;0;9,5;5,0;0;NA;0
ES_10;1;8;46;1;10,3;1;1;4;0;9,4;4,6;0;NA;0
