UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_10;1;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_10;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_10;3;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_10;4;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_100;1;45;45;45;45;45;45;58;58;58;58;0;0.0;0.0;0.0;0.6;0.4
ES_100;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_100;3;45;45;45;58;45;45;55;45;55;42;0;0.0;0.0;0.0;0.7;0.3
ES_100;4;45;45;45;45;45;45;45;45;45;42;0;0.0;0.0;0.0;1.0;0.0
ES_101;1;113;113;113;113;113;113;55;55;19;19;0;0.8;0.0;0.0;0.0;0.2
ES_101;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_101;3;55;19;19;19;19;19;19;19;19;19;0;0.9;0.0;0.0;0.0;0.1
ES_101;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_102;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_102;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_102;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_102;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_103;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_103;2;112;112;112;112;112;112;112;112;112;112;2;1.0;0.0;0.0;0.0;0.0
ES_103;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_103;4;45;45;45;113;113;45;113;113;113;113;2;0.6;0.0;0.0;0.4;0.0
ES_104;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_104;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_104;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_104;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_105;1;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_105;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_105;3;19;19;113;113;113;113;19;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_105;4;113;112;113;112;112;113;112;113;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_106;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_106;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_106;3;51;51;112;112;112;112;112;112;112;112;0;0.8;0.0;0.0;0.0;0.2
ES_106;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_107;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_107;2;42;42;42;42;42;43;43;42;43;43;0;0.0;0.0;0.0;1.0;0.0
ES_107;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_107;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_108;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_108;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_108;3;113;113;113;113;113;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_108;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_109;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_109;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_109;3;112;112;112;112;112;112;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_109;4;113;112;45;113;113;45;45;45;45;45;0;0.4;0.0;0.0;0.6;0.0
ES_11;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_11;2;57;57;57;57;57;57;57;57;57;57;0;0.0;0.0;0.0;0.0;1.0
ES_11;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_11;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_110;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_110;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_110;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_110;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_111;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_111;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_111;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_111;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_112;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_112;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_112;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_112;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_113;1;45;112;112;45;45;112;112;45;45;113;0;0.5;0.0;0.0;0.5;0.0
ES_113;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_113;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_113;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_114;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_114;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_114;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_114;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_116;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_116;2;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_116;3;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_116;4;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
